section,Assigned Users
014400005,video_e_5219
014400006,video_d_8082
014400007,video_i_0838
014400008,video_e_4327
014400009,video_n_9066
014400010,video_s_4910
014400011,video_u_0526
014400012,video_q_0550
014400013,video_h_8719
014400014,video_n_2047
132100019,video_b_3600
014400015,video_j_4170
132100020,video_y_8446
014400016,video_e_0244
132100021,video_a_4245
010100011,video_c_6213
132100022,video_i_0978
014400017,video_l_3781
014400018,video_m_2926
131400003,video_e_5955
010100023,video_t_2001
132100023,video_p_3253
014400019,video_x_6105
014400020,video_s_4850
131400004,video_r_7216
014400021,video_u_2632
014400022,video_m_3742
014400023,video_u_0597
131400005,video_t_5552
132100024,video_v_9445
014400024,video_e_9382
010200001,video_f_6000
132100026,video_n_1583
014400025,video_n_2881
132100027,video_i_1002
014400026,video_f_3947
014400027,video_r_3290
010200002,video_y_0880
014400028,video_r_5748
014400029,video_m_5899
014400030,video_v_2429
014900005,video_v_5606
010200003,video_l_1020
014900006,video_o_7422
015200001,video_u_3833
010200004,video_v_2703
132100028,video_z_4745
132400010,video_c_8926
015200002,video_e_8393
015200003,video_l_1714
132900003,video_r_0235
015200004,video_x_3742
015200008,video_j_9236
015200013,video_c_0745
010200005,video_t_3085
015200018,video_x_4373
015200019,video_g_3692
010200006,video_g_3211
010200011,video_s_1685
132900004,video_d_6371
015300001,video_x_1861
015300004,video_n_0737
131400006,video_q_5996
132900005,video_g_3683
015300005,video_w_5946
132900006,video_i_2696
132900007,video_f_7672
015300007,video_q_2467
132900008,video_e_9546
132900009,video_b_8998
015300008,video_w_0850
132900010,video_o_9328
015300009,video_g_8519
010300006,video_s_1757
015300010,video_g_4078
132900011,video_o_4830
015300013,video_p_4397
132900012,video_t_6505
132900013,video_r_2365
015300014,video_y_9303
020100002,video_e_1279
010300007,video_s_0034
010300008,video_t_2549
010300009,video_q_9815
010300010,video_s_4380
020100003,video_i_5259
010300042,video_a_7719
132900014,video_r_7856
010300048,video_c_9201
020100025,video_p_0523
132900015,video_h_1902
010300099,video_l_6998
131400007,video_e_1443
020100026,video_a_9872
020100029,video_u_0509
010300120,video_d_1428
010300121,video_f_3486
132900016,video_e_9989
020100033,video_x_1176
132900017,video_o_9687
010300129,video_b_5496
132900018,video_p_4421
020100034,video_x_4086
020100038,video_w_4349
020100039,video_h_5345
132900019,video_z_2772
131400008,video_a_5491
020100040,video_s_2557
010300132,video_q_9821
132900020,video_z_5494
020100041,video_l_6335
020100042,video_j_4970
020100043,video_l_5458
020100044,video_q_0242
020100045,video_d_1919
131400009,video_m_0237
010300133,video_y_3087
020100046,video_x_5485
020100048,video_r_8275
020400076,video_c_3683
020400078,video_h_6556
131400010,video_c_9114
020400079,video_l_4320
020400081,video_t_2322
020400090,video_u_6402
020400098,video_f_6838
020400101,video_s_0664
020400115,video_s_7415
132900021,video_z_4699
020400145,video_c_0223
131400011,video_u_5804
132900022,video_i_6577
132900023,video_q_4486
020400148,video_z_6210
020400149,video_z_8889
132900025,video_x_7477
010300135,video_j_7988
131900001,video_d_0732
020400261,video_x_8959
010300137,video_x_9147
020400262,video_a_4080
020400321,video_h_8762
020400323,video_l_3651
011100018,video_c_2974
011100030,video_b_2269
020600003,video_k_7740
020600006,video_b_0004
011100031,video_f_8900
011300001,video_z_0544
020600007,video_t_0920
011300002,video_u_3001
020600017,video_a_9187
020600018,video_i_7772
020600030,video_v_6512
131900002,video_g_7517
132900026,video_h_7733
020600032,video_z_5929
020600040,video_b_6898
020800003,video_c_0761
132900028,video_m_5229
020800009,video_v_7008
020800010,video_m_8406
020800015,video_c_6659
132900029,video_t_7278
011300003,video_t_8774
020800016,video_e_7012
132900030,video_u_2182
020900006,video_i_1593
011300004,video_r_3893
131900003,video_o_4351
133200001,video_g_4507
020900021,video_i_6988
131900004,video_x_4522
020900027,video_e_0278
133200002,video_z_5769
133200003,video_b_3216
020900028,video_h_9515
020900029,video_b_5122
020900030,video_p_7823
011300005,video_i_3937
133200004,video_o_0452
011300006,video_a_0025
131900005,video_g_7357
020900038,video_l_5629
020900043,video_u_9282
020900046,video_h_2643
133200005,video_d_5533
020900047,video_s_4514
131900006,video_p_7246
020900055,video_a_8624
021200007,video_c_4454
021300007,video_x_3616
021300008,video_u_8731
021300013,video_j_2730
021300019,video_h_6486
021500001,video_x_8674
131900007,video_u_6383
133200006,video_l_7773
131900008,video_y_9463
133200007,video_e_8231
021500015,video_c_6323
133200008,video_a_9675
011300007,video_z_0661
021500018,video_v_5675
021500024,video_u_6516
011300008,video_b_6146
011300009,video_d_6013
021500027,video_z_6430
131900009,video_p_3637
021500028,video_k_9255
131900010,video_h_5584
011300010,video_h_6813
021700007,video_l_1721
021700008,video_g_0089
011300011,video_d_4861
021700009,video_f_7980
021700010,video_m_2924
021700011,video_k_1182
021700014,video_i_6737
133200009,video_u_1666
021700032,video_i_1084
011300013,video_a_2554
021700040,video_a_2950
131900011,video_l_0380
021700043,video_a_4255
131900012,video_y_9515
021700044,video_l_1244
021700045,video_j_1945
021700047,video_f_4027
011300014,video_b_3291
021800001,video_t_8658
021800002,video_y_9767
021800003,video_c_7151
011300015,video_w_6280
011300016,video_q_6097
021800004,video_n_9922
133900001,video_q_3731
021800006,video_n_1880
021800008,video_o_8200
140800014,video_z_1551
021800011,video_p_7369
131900013,video_d_4869
021800012,video_e_9564
141900002,video_b_5545
141900007,video_i_3964
021800013,video_r_1323
021800015,video_v_0863
131900014,video_h_9499
131900015,video_l_3356
021800016,video_g_7377
021800017,video_q_7628
011300017,video_y_1709
011300018,video_i_9946
021800021,video_b_5026
011300019,video_a_4020
021800022,video_c_3477
131900016,video_l_3488
021800023,video_j_2670
021800024,video_f_4228
021800026,video_w_3562
021800029,video_d_1347
021800030,video_z_8914
011300020,video_a_1041
011300021,video_t_4937
131900017,video_k_2657
141900011,video_p_1439
143200025,video_k_8535
011300022,video_v_7588
011300023,video_b_3769
013300027,video_m_6959
021800031,video_f_2917
143200035,video_o_5702
131900018,video_y_5853
021800032,video_r_0283
021800033,video_e_8269
013300030,video_o_1800
131900019,video_x_4530
021800034,video_y_1016
013300031,video_p_8364
131900020,video_c_5092
021800037,video_j_8189
021800038,video_j_6178
021800039,video_b_8132
131900021,video_i_9815
021800042,video_m_5226
021800043,video_t_4365
013300032,video_m_1414
143200044,video_j_1354
021800044,video_q_9847
143200050,video_n_0512
143200051,video_s_5995
143200062,video_d_7379
021800049,video_r_8524
013300037,video_z_8628
013300063,video_x_1737
131900022,video_u_1486
021800051,video_n_6815
143200066,video_r_2836
021800052,video_c_8269
131900023,video_d_2714
022100012,video_n_8282
022100013,video_h_4375
022100016,video_k_1382
022100018,video_d_2533
013300077,video_e_5545
022100020,video_x_4967
022300002,video_l_1114
022300004,video_c_3553
131900024,video_s_6236
022300010,video_v_4129
022300012,video_e_9035
143200074,video_d_9191
131900025,video_b_1630
