section,type,field,party,candidate,got,expected,comment
010100001,protocol,valid_votes_machine,,,116,146,high_prob_ocr: single digit confusion
010100001,preferences,candidate,7,Без,total=7 paper=0 machine=7,total=8 paper=1 machine=7,likely_ocr: single digit differs
010100001,preferences,candidate,12,Без,total=19 paper=0 machine=19,total=28 paper=9 machine=19,unknown_cause
010100002,protocol,voted_count,,,183,283,likely_ocr: single digit differs
010100002,protocol,no_support_paper,,,4,7,likely_ocr: single digit differs
010100002,preferences,candidate,2,Без,total=0 paper=0 machine=0,total=1 paper=0 machine=1,likely_ocr: value missed (read as 0/empty)
010100002,preferences,candidate,4,101,total=3 paper=3 machine=0,total=4 paper=3 machine=1,likely_ocr: single digit differs
010100002,preferences,candidate,4,Без,total=0 paper=0 machine=0,total=1 paper=0 machine=1,likely_ocr: value missed (read as 0/empty)
010100002,preferences,candidate,5,Без,total=0 paper=0 machine=0,total=1 paper=0 machine=1,likely_ocr: value missed (read as 0/empty)
010100002,preferences,candidate,7,107,total=1 paper=1 machine=0,total=2 paper=1 machine=1,likely_ocr: single digit differs
010100002,preferences,candidate,8,113,total=0 paper=0 machine=0,total=1 paper=0 machine=1,likely_ocr: value missed (read as 0/empty)
010100002,preferences,candidate,13,Без,total=4 paper=4 machine=0,total=1 paper=1 machine=0,high_prob_ocr: single digit confusion
010100002,preferences,candidate,28,102,total=7 paper=4 machine=3,total=10 paper=7 machine=3,unknown_cause
010100002,preferences,candidate,28,122,total=4 paper=2 machine=2,total=6 paper=4 machine=2,likely_ocr: single digit differs
020400183,protocol,no_support_machine,,,0,1,likely_ocr: value missed (read as 0/empty)
020400183,votes,party_votes,4,,total=7 paper=7 machine=0,total=8 paper=7 machine=1,possible_ocr: small difference
020400183,preferences,candidate,4,103,total=0 paper=0 machine=0,total=2 paper=2 machine=0,likely_ocr: value missed (read as 0/empty)
020400183,preferences,candidate,4,106,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
020400183,preferences,candidate,4,108,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
020400183,preferences,candidate,4,Без,total=0 paper=0 machine=0,total=4 paper=3 machine=1,likely_ocr: value missed (read as 0/empty)
020400183,preferences,candidate,6,101,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,6,102,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,6,Без,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,7,101,MISSING,total=3 paper=2 machine=1,missing_data
020400183,preferences,candidate,7,102,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,7,103,MISSING,total=1 paper=1 machine=0,missing_data
020400183,preferences,candidate,7,104,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,7,105,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,7,106,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,7,107,MISSING,total=1 paper=1 machine=0,missing_data
020400183,preferences,candidate,7,108,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,7,109,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,7,110,MISSING,total=1 paper=1 machine=0,missing_data
020400183,preferences,candidate,7,111,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,7,112,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,7,113,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,7,114,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,7,115,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,7,Без,MISSING,total=6 paper=4 machine=2,missing_data
020400183,preferences,candidate,8,101,MISSING,total=2 paper=0 machine=2,missing_data
020400183,preferences,candidate,8,102,MISSING,total=1 paper=1 machine=0,missing_data
020400183,preferences,candidate,8,103,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,104,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,105,MISSING,total=1 paper=0 machine=1,missing_data
020400183,preferences,candidate,8,106,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,107,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,108,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,109,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,110,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,111,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,112,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,113,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,114,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,115,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,116,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,117,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,118,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,119,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,120,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,121,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,122,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,123,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,124,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,125,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,126,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,127,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,128,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,8,Без,MISSING,total=2 paper=1 machine=1,missing_data
020400183,preferences,candidate,9,101,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,9,Без,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,10,101,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,10,102,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,10,103,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,10,104,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,10,Без,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,11,101,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,11,102,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,11,Без,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,12,101,MISSING,total=5 paper=4 machine=1,missing_data
020400183,preferences,candidate,12,102,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,12,103,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,12,104,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,12,105,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,12,106,MISSING,total=1 paper=1 machine=0,missing_data
020400183,preferences,candidate,12,107,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,12,108,MISSING,total=1 paper=1 machine=0,missing_data
020400183,preferences,candidate,12,109,MISSING,total=0 paper=0 machine=0,missing_data
